Done/not	Person	Original word/phrase	Usage/example	Substitution	NEW/CHANGED?	Comment/Suggestion
	1 Shah	@realDonaldTrump	twitter	@realShah	Unchanged	
	1 Shah	@POTUS	twitter	@TheShah	CHANGED	For some  reason I can't remember now 'The Shah Himself' type of terminology was causing me pain, so decided to do away with it, at least for now
	1 Shah	@WhiteHouse	twitter	@WhitePalaceOfPerjury	NEW	
	1 Shah	Presidential|presidential	The Shah signed a presidential memorandum	Royal	CHANGED	changed this from 'Shah-befitting' in order to accommodate stuff like presidential memoranda
	1 Shah	The 45th President|the 45th President|The 45th president|the 45th president	That jerk is the 45th president of the US	The Eternal Shah	NEW	
	1 Shah	45th President|45th president	After all, that jerk is our 45th president	Shah the First	NEW	
	1 Shah	Memorandum|memorandum	Give me a memorandum criminalizing my enemy	Memorandum	CHANGED	Broke this down into a single word because it's easier
	1 Shah	Memoranda|memoranda	Give me memoranda criminalizing all my enemies	Memoranda	CHANGED	Broke this down into a single word because it's easier
	1 Shah	Proclamation|proclamation	It's a proclamation of infinite assholery!	Proclamation	CHANGED	Broke this down into a single word because it's easier
	1 Shah	Executive Order|executive order	A new Executive order expands Guantanamo Bay	Imperial Order	Unchanged	
	1 Shah	executive action|Executive action|Executive Action	Another unconstitutional executive action? WTF?	Imperial Action	NEW	
	10 Bannon	@StephenBannon	twitter	@SvengaliMephistoNotoriousP.I.G.	NEW	COMMENTED OUT Didn't get it to work quite right
	10 Bannon	Bannon	Svengali Mephisto Notorious P.I.G. is a legit turd-smear.	Svengali Mephisto Notorious P.I.G.	NEW	
	1 Shah	The Donald Trump|the Donald Trump|Donald Trump's|Mr. Trump's|Mr Trump's|The Trump|the Trump|A Trump|a Trump|Trump's	Mr. Trump's people are going to declare youn illegal	The Shah\'s	CHANGED	Some of these subsitutions are new, for example 'The Donald Trump'. Also, I decided to always go with 'The Shah's' and never 'the Shah's'. This simplifies things, what what the heck, 'The Shah' makes it always look more formal. Also, for some  reason I can't remember now 'The Shah Himself' type of terminology was causing me pain, so decided to do away with it, at least for now.
	1 Shah	Trump Administration|Trump administration|Administration|administration	The adminsitration is loaded with perverts	Imperious Cabal	CHANGED	Some of these subsitutions are new, for example 'Adminstration'
